127.0.0.1 - - [15/Oct/2015:19:53:15 -0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:18 -0200] "GET /FarmaciaYa/inicio.jsp HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:18 -0200] "GET /FarmaciaYa/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:18 -0200] "GET /FarmaciaYa/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:19 -0200] "GET /FarmaciaYa/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:19 -0200] "GET /FarmaciaYa/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:19 -0200] "GET /FarmaciaYa/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/inicio.jsp HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:26 -0200] "GET /FarmaciaYa/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:27 -0200] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:39 -0200] "POST /FarmaciaYa/LoginServlet HTTP/1.1" 200 5858
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:47 -0200] "POST /FarmaciaYa/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:48 -0200] "GET /FarmaciaYa/busqueda.jsp HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:51 -0200] "POST /FarmaciaYa/BuscarServlet HTTP/1.1" 200 4023
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:51 -0200] "GET /FarmaciaYa/images/imagefotofarmacia.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2015:19:53:54 -0200] "POST /FarmaciaYa/FarmaciaServlet HTTP/1.1" 200 15378
